time_start_sec,time_end_sec,freq_start_hz,freq_end_hz,energy
16.5,16.6,100.0,150.0,0.02313140593469143
13.3,13.4,300.0,350.0,0.023121988400816917
24.0,24.1,200.0,250.0,0.023114245384931564
5.8,5.9,300.0,350.0,0.023068133741617203
5.7,5.8,350.0,400.0,0.02277367189526558
11.8,11.9,100.0,150.0,0.022687997668981552
9.8,9.9,250.0,300.0,0.02259291149675846
20.5,20.6,200.0,250.0,0.022514939308166504
30.5,30.6,250.0,300.0,0.022513587027788162
9.0,9.1,100.0,150.0,0.02222655713558197
35.2,35.3,400.0,450.0,0.022026294842362404
33.2,33.3,100.0,150.0,0.021517300978302956
19.2,19.3,350.0,400.0,0.021483179181814194
12.9,13.0,100.0,150.0,0.02107267454266548
12.4,12.5,300.0,350.0,0.02104908972978592
12.5,12.6,100.0,150.0,0.02102523483335972
14.3,14.4,250.0,300.0,0.02101782336831093
17.4,17.5,200.0,250.0,0.020949095487594604
13.8,13.9,250.0,300.0,0.020856032148003578
15.1,15.2,100.0,150.0,0.02048792690038681
14.4,14.5,250.0,300.0,0.020380545407533646
6.9,7.0,100.0,150.0,0.020223090425133705
30.7,30.8,100.0,150.0,0.020170943811535835
24.6,24.7,200.0,250.0,0.020034417510032654
13.9,14.0,300.0,350.0,0.01960582844913006
6.4,6.5,100.0,150.0,0.019496656954288483
15.8,15.9,200.0,250.0,0.019362930208444595
32.1,32.2,100.0,150.0,0.01920267939567566
7.1,7.2,200.0,250.0,0.018963851034641266
7.0,7.1,100.0,150.0,0.018688948825001717
16.9,17.0,200.0,250.0,0.01868794858455658
9.9,10.0,250.0,300.0,0.018595822155475616
23.7,23.8,300.0,350.0,0.01853720098733902
31.1,31.2,250.0,300.0,0.01843574270606041
12.6,12.7,100.0,150.0,0.01823311112821102
7.6,7.7,250.0,300.0,0.017984621226787567
22.5,22.6,100.0,150.0,0.017839465290308
13.2,13.3,400.0,450.0,0.017805228009819984
12.7,12.8,100.0,150.0,0.01773962751030922
32.7,32.8,300.0,350.0,0.01727420464158058
4.0,4.1,100.0,150.0,0.01709280163049698
5.0,5.1,100.0,150.0,0.01603425107896328
3.9,4.0,100.0,150.0,0.015879077836871147
29.2,29.3,100.0,150.0,0.015459886752068996
23.8,23.9,200.0,250.0,0.01532887015491724
14.6,14.7,100.0,150.0,0.015140923671424389
10.4,10.5,100.0,150.0,0.014882763847708702
10.5,10.6,100.0,150.0,0.014216268435120583
6.2,6.3,100.0,150.0,0.014193051494657993
32.8,32.9,200.0,250.0,0.014070850796997547
17.0,17.1,100.0,150.0,0.013918460346758366
0.5,0.6,100.0,150.0,0.013512982055544853
18.5,18.6,100.0,150.0,0.0132520142942667
23.9,24.0,300.0,350.0,0.013146012090146542
10.3,10.4,100.0,150.0,0.01271443534642458
9.1,9.2,400.0,450.0,0.012527316808700562
23.6,23.7,350.0,400.0,0.01212993636727333
14.9,15.0,100.0,150.0,0.01188930869102478
19.3,19.4,200.0,250.0,0.011018467135727406
18.6,18.7,100.0,150.0,0.011001435108482838
8.1,8.2,100.0,150.0,0.010028366930782795
18.7,18.8,100.0,150.0,0.009898757562041283
18.9,19.0,100.0,150.0,0.009483572095632553
28.0,28.1,200.0,250.0,0.009478075429797173
18.8,18.9,100.0,150.0,0.009070068597793579
19.0,19.1,100.0,150.0,0.008929319679737091
33.8,33.9,200.0,250.0,0.007923941127955914
25.5,25.6,100.0,150.0,0.006287942640483379
23.3,23.4,400.0,450.0,0.0039584641344845295
23.4,23.5,400.0,450.0,0.0018930303631350398
31.2,31.3,250.0,300.0,0.0015542414039373398
0.6,0.7,50.0,100.0,0.001485057407990098
2.3,2.4,100.0,150.0,0.0014155448880046606
35.3,35.4,100.0,150.0,0.0007750309305265546
23.5,23.6,400.0,450.0,0.0006559917819686234
1.4,1.5,200.0,250.0,0.0006024519680067897
1.3,1.4,200.0,250.0,0.0005459105595946312
1.5,1.6,200.0,250.0,0.00034575106110423803
2.4,2.5,50.0,100.0,0.0003299360105302185
1.6,1.7,200.0,250.0,0.00012650247663259506
27.8,27.9,100.0,150.0,0.00010060745262308046
35.4,35.5,100.0,150.0,9.497899009147659e-05
1.8,1.9,100.0,150.0,3.534728239174001e-05
27.9,28.0,300.0,350.0,3.461340384092182e-05
1.9,2.0,100.0,150.0,3.0732200684724376e-05
35.5,35.6,100.0,150.0,2.906077315856237e-05
2.0,2.1,100.0,150.0,2.204685370088555e-05
36.4,36.5,0.0,50.0,1.821850673877634e-05
0.7,0.8,50.0,100.0,1.3292212315718643e-05
1.7,1.8,100.0,150.0,1.1654353329504374e-05
36.3,36.4,0.0,50.0,9.02906776900636e-06
2.1,2.2,100.0,150.0,8.783038538240362e-06
35.6,35.7,100.0,150.0,6.616605787712615e-06
35.7,35.8,150.0,200.0,5.949043043074198e-06
36.2,36.3,0.0,50.0,5.8212581279804e-06
0.8,0.9,50.0,100.0,5.73046418139711e-06
36.1,36.2,150.0,200.0,5.19271179655334e-06
35.9,36.0,150.0,200.0,4.779880327987485e-06
1.1,1.2,100.0,150.0,3.992312940681586e-06
36.0,36.1,50.0,100.0,3.86059946322348e-06
1.0,1.1,100.0,150.0,3.839272721961606e-06
2.5,2.6,50.0,100.0,3.6565390928444685e-06
0.4,0.5,100.0,150.0,3.5265031783637824e-06
35.8,35.9,150.0,200.0,2.949360350612551e-06
2.8,2.9,50.0,100.0,2.7340915949025657e-06
2.2,2.3,50.0,100.0,2.64639311353676e-06
0.9,1.0,200.0,250.0,2.623571162985172e-06
2.9,3.0,50.0,100.0,2.506108103261795e-06
1.2,1.3,100.0,150.0,2.0948887140548322e-06
2.7,2.8,100.0,150.0,1.8421568483972806e-06
2.6,2.7,100.0,150.0,1.5876435099926312e-06
0.3,0.4,50.0,100.0,1.8076009666856407e-07
0.2,0.3,7400.0,7450.0,1.2839856955437767e-09
0.1,0.2,7400.0,7450.0,1.4948853266361084e-10
0.0,0.1,0.0,50.0,0.0
